rank,iso3,country,c_j_total,c_j_electricity,c_j_hardware,c_j_construction,pue,p_E_usd_kwh,theta_summer_C,p_L_usd_per_W,cost_source
1,IRN,Iran,1.10323,0.00463,1.05627,0.04232,1.324,0.005,31.2,7.95,predicted
2,TKM,Turkmenistan,1.11361,0.00937,1.05627,0.04797,1.339,0.01,32.2,9.01,predicted
3,KGZ,Kyrgyzstan,1.12519,0.02873,1.05627,0.04019,1.08,0.038,13.3,7.55,predicted
4,ETH,Ethiopia,1.12718,0.0263,1.05627,0.04461,1.252,0.03,26.5,8.38,predicted
5,DZA,Algeria,1.13025,0.03214,1.05627,0.04184,1.391,0.033,35.8,7.86,predicted
6,EGY,Egypt,1.13373,0.03541,1.05627,0.04206,1.331,0.038,31.7,7.9,predicted
7,CAN,Canada,1.14028,0.03402,1.05627,0.04999,1.08,0.045,14.6,9.39,DCCI
8,RUS,Russia,1.14039,0.03104,1.05627,0.05308,1.109,0.04,16.9,9.97,predicted
9,XKX,Kosovo,1.14166,0.03833,1.05627,0.04706,1.17,0.0468,21.0,8.84,predicted
10,ZAF,South Africa,1.1444,0.03383,1.05627,0.0543,1.208,0.04,23.5,10.2,DCCI
11,UKR,Ukraine,1.14961,0.0474,1.05627,0.04594,1.192,0.0568,22.5,8.63,predicted
12,TJK,Tajikistan,1.15101,0.05737,1.05627,0.03737,1.108,0.074,16.8,7.02,predicted
13,NGA,Nigeria,1.15115,0.03898,1.05627,0.0559,1.326,0.042,31.4,10.5,DCCI
14,MNE,Montenegro,1.15231,0.04196,1.05627,0.05409,1.18,0.0508,21.7,10.16,predicted
15,CHN,China,1.15348,0.06463,1.05627,0.03258,1.169,0.079,20.9,6.12,DCCI
16,QAT,Qatar,1.154,0.03518,1.05627,0.06255,1.396,0.036,36.1,11.75,predicted
17,ARG,Argentina,1.15774,0.04994,1.05627,0.05153,1.189,0.06,22.3,9.68,predicted
18,AZE,Azerbaijan,1.15857,0.053,1.05627,0.0493,1.221,0.062,24.4,9.26,predicted
19,COL,Colombia,1.1611,0.06495,1.05627,0.03987,1.237,0.075,25.5,7.49,DCCI
20,NOR,Norway,1.16324,0.0409,1.05627,0.06607,1.08,0.0541,14.5,12.41,DCCI
21,UZB,Uzbekistan,1.16339,0.06475,1.05627,0.04238,1.303,0.071,29.9,7.96,predicted
22,FIN,Finland,1.16569,0.04399,1.05627,0.06543,1.101,0.0571,16.4,12.29,DCCI
23,KAZ,Kazakhstan,1.16628,0.05678,1.05627,0.05324,1.229,0.066,24.9,10.0,predicted
24,SAU,Saudi Arabia,1.16839,0.05175,1.05627,0.06037,1.395,0.053,36.0,11.34,DCCI
25,BRA,Brazil,1.16929,0.05579,1.05627,0.05723,1.265,0.063,27.3,10.75,DCCI
26,VNM,Vietnam,1.16965,0.06514,1.05627,0.04823,1.275,0.073,28.0,9.06,predicted
27,ARE,United Arab Emirates,1.16969,0.06423,1.05627,0.04919,1.412,0.065,37.1,9.24,DCCI
28,SWE,Sweden,1.17338,0.05168,1.05627,0.06543,1.083,0.0682,15.2,12.29,DCCI
29,IND,India,1.17402,0.0824,1.05627,0.03535,1.308,0.09,30.2,6.64,DCCI
30,IDN,Indonesia,1.17459,0.05864,1.05627,0.05968,1.25,0.067,26.4,11.21,DCCI
31,GEO,Georgia,1.17983,0.07309,1.05627,0.05047,1.146,0.0911,19.4,9.48,predicted
32,USA,United States of America,1.1819,0.06824,1.05627,0.05739,1.199,0.0813,22.9,10.78,DCCI
33,TUR,Turkey,1.18294,0.07354,1.05627,0.05313,1.222,0.086,24.4,9.98,predicted
34,KEN,Kenya,1.18606,0.07794,1.05627,0.05185,1.265,0.088,27.4,9.74,DCCI
35,BIH,Bosnia and Herz.,1.18747,0.08126,1.05627,0.04994,1.179,0.0985,21.6,9.38,predicted
36,BLR,Belarus,1.18787,0.07985,1.05627,0.05175,1.152,0.099,19.8,9.72,predicted
37,ISL,Iceland,1.18819,0.06766,1.05627,0.06426,1.08,0.0895,8.7,12.07,predicted
38,MAR,Morocco,1.1915,0.097,1.05627,0.03822,1.283,0.108,28.5,7.18,predicted
39,GBR,United Kingdom,1.19383,0.07431,1.05627,0.06324,1.093,0.0971,15.9,11.88,DCCI
40,AUS,Australia,1.19422,0.08109,1.05627,0.05686,1.287,0.09,28.8,10.68,DCCI
41,NZL,New Zealand,1.19452,0.07277,1.05627,0.06548,1.094,0.095,15.9,12.3,DCCI
42,ARM,Armenia,1.19504,0.08948,1.05627,0.0493,1.152,0.111,19.8,9.26,predicted
43,MEX,Mexico,1.19508,0.08344,1.05627,0.05537,1.255,0.095,26.6,10.4,DCCI
44,FRA,France,1.19566,0.08387,1.05627,0.05553,1.17,0.1024,21.0,10.43,DCCI
45,LVA,Latvia,1.19924,0.08696,1.05627,0.056,1.13,0.1099,18.4,10.52,predicted
46,CHL,Chile,1.20039,0.09828,1.05627,0.04584,1.08,0.13,13.4,8.61,DCCI
47,POL,Poland,1.20076,0.09573,1.05627,0.04876,1.151,0.1188,19.7,9.16,DCCI
48,PRT,Portugal,1.20226,0.09142,1.05627,0.05457,1.199,0.1089,22.9,10.25,DCCI
49,MYS,Malaysia,1.20397,0.08717,1.05627,0.06053,1.258,0.099,26.9,11.37,DCCI
50,PHL,Philippines,1.20419,0.10241,1.05627,0.04552,1.272,0.115,27.8,8.55,predicted
51,TWN,Taiwan,1.20507,0.08226,1.05627,0.06654,1.25,0.094,26.3,12.5,predicted
52,ISR,Israel,1.20569,0.09661,1.05627,0.05281,1.278,0.108,28.2,9.92,predicted
53,THA,Thailand,1.20659,0.09789,1.05627,0.05244,1.295,0.108,29.3,9.85,predicted
54,ESP,Spain,1.20698,0.09726,1.05627,0.05345,1.228,0.1131,24.9,10.04,DCCI
55,SRB,Serbia,1.20904,0.10114,1.05627,0.05164,1.203,0.1201,23.2,9.7,predicted
56,MLT,Malta,1.21053,0.09746,1.05627,0.0568,1.26,0.1105,27.0,10.67,predicted
57,PAK,Pakistan,1.21264,0.1223,1.05627,0.03407,1.304,0.134,29.9,6.4,predicted
58,EST,Estonia,1.21558,0.10171,1.05627,0.0576,1.128,0.1288,18.2,10.82,predicted
59,BEL,Belgium,1.21607,0.09991,1.05627,0.05989,1.14,0.1252,19.0,11.25,predicted
60,NLD,Netherlands,1.21713,0.10331,1.05627,0.05755,1.139,0.1296,18.9,10.81,DCCI
61,KOR,South Korea,1.21879,0.10891,1.05627,0.05361,1.245,0.125,26.0,10.07,DCCI
62,MDA,Moldova,1.219,0.11497,1.05627,0.04775,1.218,0.1348,24.2,8.97,predicted
63,GHA,Ghana,1.22009,0.11048,1.05627,0.05334,1.315,0.12,30.7,10.02,predicted
64,LTU,Lithuania,1.22068,0.10665,1.05627,0.05776,1.137,0.134,18.8,10.85,predicted
65,DNK,Denmark,1.22101,0.10075,1.05627,0.06399,1.113,0.1293,17.2,12.02,DCCI
66,MKD,North Macedonia,1.22231,0.11493,1.05627,0.05111,1.214,0.1352,24.0,9.6,predicted
67,LUX,Luxembourg,1.2279,0.10056,1.05627,0.07107,1.125,0.1277,18.0,13.35,predicted
68,ALB,Albania,1.23199,0.12493,1.05627,0.05079,1.211,0.1474,23.7,9.54,predicted
69,SVN,Slovenia,1.23646,0.12152,1.05627,0.05867,1.181,0.147,21.7,11.02,predicted
70,ROU,Romania,1.24134,0.12987,1.05627,0.05521,1.186,0.1564,22.1,10.37,predicted
71,DEU,Germany,1.24157,0.12387,1.05627,0.06143,1.14,0.1552,19.0,11.54,DCCI
72,BGR,Bulgaria,1.24182,0.13141,1.05627,0.05414,1.214,0.1546,23.9,10.17,predicted
73,GRC,Greece,1.24213,0.14413,1.05627,0.04174,1.246,0.1652,26.1,7.84,DCCI
74,AUT,Austria,1.24574,0.12659,1.05627,0.06287,1.134,0.1595,18.6,11.81,DCCI
75,ITA,Italy,1.24619,0.1378,1.05627,0.05212,1.215,0.162,24.0,9.79,DCCI
76,SVK,Slovakia,1.24671,0.13454,1.05627,0.0559,1.169,0.1644,20.9,10.5,predicted
77,JPN,Japan,1.2508,0.11659,1.05627,0.07794,1.234,0.135,25.2,14.64,DCCI
78,CZE,Czechia,1.25137,0.13777,1.05627,0.05734,1.142,0.1723,19.1,10.77,predicted
79,CHE,Switzerland,1.25423,0.12215,1.05627,0.07581,1.091,0.16,15.7,14.24,DCCI
80,HUN,Hungary,1.26082,0.14892,1.05627,0.05563,1.209,0.1759,23.6,10.45,predicted
81,SGP,Singapore,1.2638,0.13017,1.05627,0.07735,1.282,0.145,28.5,14.53,DCCI
82,SEN,Senegal,1.27493,0.16904,1.05627,0.04962,1.342,0.18,32.4,9.32,predicted
83,CYP,Cyprus,1.28106,0.16511,1.05627,0.05968,1.275,0.185,28.0,11.21,predicted
84,IRL,Ireland,1.28291,0.17313,1.05627,0.0535,1.085,0.228,15.3,10.05,DCCI
85,HRV,Croatia,1.28716,0.1743,1.05627,0.05659,1.211,0.2057,23.7,10.63,predicted
86,GRL,Greenland,1.32063,0.19883,1.05627,0.06553,1.08,0.263,-3.1,12.31,predicted
